Date;Market;Market Size;Product;Product Line;Product Type;State;Type;Inventory;Marketing;Profit;Sales;Total Expenses
12/1/13 00:00;South;Small Market;Colombian;Beans;Coffee;Louisiana;Regular;845;13;68;128;25
12/1/13 00:00;South;Small Market;Chamomile;Leaves;Herbal Tea;Louisiana;Decaf;540;31;114;228;43
11/1/13 00:00;South;Small Market;Chamomile;Leaves;Herbal Tea;Louisiana;Decaf;552;33;126;246;45
10/1/13 00:00;South;Small Market;Decaf Irish Cream;Beans;Coffee;Louisiana;Decaf;851;13;67;126;25
9/1/13 00:00;South;Small Market;Lemon;Leaves;Herbal Tea;Louisiana;Decaf;599;25;37;160;58
8/1/13 00:00;South;Small Market;Decaf Irish Cream;Beans;Coffee;Louisiana;Decaf;864;17;87;153;26
7/1/13 00:00;South;Small Market;Lemon;Leaves;Herbal Tea;Louisiana;Decaf;613;28;43;167;58
5/1/13 00:00;South;Small Market;Chamomile;Leaves;Herbal Tea;Louisiana;Decaf;599;15;48;110;26
5/1/13 00:00;South;Small Market;Caffe Mocha;Beans;Espresso;Louisiana;Regular;351;14;61;129;35
5/1/13 00:00;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;-113;58;4;153;81
4/1/13 00:00;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;37;57;1;160;86
3/1/13 00:00;South;Small Market;Decaf Irish Cream;Beans;Coffee;Louisiana;Decaf;767;13;70;129;25
3/1/13 00:00;South;Small Market;Decaf Espresso;Beans;Espresso;Louisiana;Decaf;376;16;56;137;39
2/1/13 00:00;South;Small Market;Lemon;Leaves;Herbal Tea;Louisiana;Decaf;484;32;62;206;65
2/1/13 00:00;South;Small Market;Decaf Espresso;Beans;Espresso;Louisiana;Decaf;382;17;61;146;40
12/1/12 00:00;South;Small Market;Lemon;Leaves;Herbal Tea;Louisiana;Decaf;619;25;26;153;59
12/1/12 00:00;South;Small Market;Caffe Mocha;Beans;Espresso;Louisiana;Regular;320;12;31;107;35
12/1/12 00:00;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;-1053;49;-3;131;79
10/1/12 00:00;South;Small Market;Caffe Mocha;Beans;Espresso;Louisiana;Regular;329;18;58;159;41
9/1/12 00:00;South;Small Market;Decaf Espresso;Beans;Espresso;Louisiana;Decaf;454;14;31;113;36
9/1/12 00:00;South;Small Market;Caffe Mocha;Beans;Espresso;Louisiana;Regular;349;17;53;151;41
8/1/12 00:00;South;Small Market;Lemon;Leaves;Herbal Tea;Louisiana;Decaf;606;27;28;160;60
8/1/12 00:00;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;-508;39;-7;105;68
7/1/12 00:00;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;-395;42;-6;113;72
5/1/12 00:00;South;Small Market;Chamomile;Leaves;Herbal Tea;Louisiana;Decaf;599;15;35;111;28
5/1/12 00:00;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;-113;58;3;154;87
4/1/12 00:00;South;Small Market;Chamomile;Leaves;Herbal Tea;Louisiana;Decaf;605;17;38;119;29
4/1/12 00:00;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;37;57;1;150;86
2/1/12 00:00;South;Small Market;Decaf Espresso;Beans;Espresso;Louisiana;Decaf;382;17;41;137;40
1/1/12 00:00;South;Small Market;Decaf Irish Cream;Beans;Coffee;Louisiana;Decaf;777;9;28;81;20
7/1/13 00:00;South;Major Market;Caffe Mocha;Beans;Espresso;Texas;Regular;952;29;155;254;37
6/1/13 00:00;South;Major Market;Lemon;Leaves;Herbal Tea;Texas;Decaf;414;12;28;92;33
3/1/13 00:00;South;Major Market;Caffe Latte;Beans;Espresso;Texas;Regular;189;23;80;192;54
9/1/12 00:00;South;Major Market;Decaf Espresso;Beans;Espresso;Texas;Decaf;588;22;85;199;33
8/1/12 00:00;South;Major Market;Colombian;Beans;Coffee;Texas;Regular;1296;96;250;678;117
12/1/13 00:00;East;Major Market;Darjeeling;Leaves;Tea;Massachusetts;Regular;870;9;43;87;20
12/1/13 00:00;East;Major Market;Caffe Mocha;Beans;Espresso;Massachusetts;Regular;571;42;-30;106;72
11/1/13 00:00;East;Major Market;Green Tea;Leaves;Tea;Massachusetts;Regular;482;8;43;85;19
10/1/13 00:00;East;Major Market;Darjeeling;Leaves;Tea;Massachusetts;Regular;859;7;30;70;19
8/1/13 00:00;East;Major Market;Lemon;Leaves;Herbal Tea;Massachusetts;Decaf;414;18;12;108;47
7/1/13 00:00;East;Major Market;Colombian;Beans;Coffee;Massachusetts;Regular;-1493;17;778;659;46
2/1/13 00:00;East;Major Market;Green Tea;Leaves;Tea;Massachusetts;Regular;452;6;25;60;17
1/1/13 00:00;East;Major Market;Green Tea;Leaves;Tea;Massachusetts;Regular;456;8;45;90;20
11/1/12 00:00;East;Major Market;Colombian;Beans;Coffee;Massachusetts;Regular;-3287;24;324;454;55
7/1/12 00:00;East;Major Market;Lemon;Leaves;Herbal Tea;Massachusetts;Decaf;419;19;11;115;53
7/1/12 00:00;East;Major Market;Caffe Mocha;Beans;Espresso;Massachusetts;Regular;560;36;7;111;65
5/1/12 00:00;East;Major Market;Colombian;Beans;Coffee;Massachusetts;Regular;-663;21;434;551;53
3/1/12 00:00;East;Major Market;Darjeeling;Leaves;Tea;Massachusetts;Regular;813;8;28;79;19
3/1/12 00:00;East;Major Market;Colombian;Beans;Coffee;Massachusetts;Regular;-54;23;366;492;54
2/1/12 00:00;East;Major Market;Green Tea;Leaves;Tea;Massachusetts;Regular;452;6;17;56;17
2/1/12 00:00;East;Major Market;Darjeeling;Leaves;Tea;Massachusetts;Regular;817;8;28;80;20
1/1/12 00:00;East;Major Market;Regular Espresso;Beans;Espresso;Massachusetts;Regular;1091;47;100;341;71
7/1/13 00:00;South;Major Market;Colombian;Beans;Coffee;Texas;Regular;1319;80;284;562;94
12/1/12 00:00;South;Major Market;Colombian;Beans;Coffee;Texas;Regular;1321;74;188;525;96
12/1/12 00:00;South;Major Market;Caffe Mocha;Beans;Espresso;Texas;Regular;959;34;133;302;46
3/1/12 00:00;South;Major Market;Decaf Espresso;Beans;Espresso;Texas;Decaf;441;22;84;198;33
2/1/12 00:00;South;Major Market;Colombian;Beans;Coffee;Texas;Regular;942;66;164;465;88
12/1/13 00:00;West;Small Market;Earl Grey;Leaves;Tea;Oregon;Regular;817;29;108;236;60
12/1/13 00:00;West;Small Market;Decaf Espresso;Beans;Espresso;Oregon;Decaf;1319;42;129;326;66
12/1/13 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;422;17;9;110;51
11/1/13 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;666;31;132;261;54
11/1/13 00:00;West;Small Market;Decaf Espresso;Beans;Espresso;Oregon;Decaf;1283;50;160;387;74
11/1/13 00:00;West;Small Market;Amaretto;Beans;Coffee;Oregon;Regular;509;47;-6;133;77
10/1/13 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;419;13;43;114;35
10/1/13 00:00;West;Small Market;Darjeeling;Leaves;Tea;Oregon;Regular;480;5;24;56;16
10/1/13 00:00;West;Small Market;Chamomile;Leaves;Herbal Tea;Oregon;Decaf;820;7;25;65;19
10/1/13 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;404;20;18;128;54
9/1/13 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;666;29;120;245;53
9/1/13 00:00;West;Small Market;Decaf Espresso;Beans;Espresso;Oregon;Decaf;1280;43;129;330;68
9/1/13 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;409;17;9;109;51
8/1/13 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;474;15;11;113;55
8/1/13 00:00;West;Small Market;Chamomile;Leaves;Herbal Tea;Oregon;Decaf;826;7;26;61;17
8/1/13 00:00;West;Small Market;Caffe Mocha;Beans;Espresso;Oregon;Regular;415;15;26;107;40
8/1/13 00:00;West;Small Market;Amaretto;Beans;Coffee;Oregon;Regular;513;33;-15;88;59
7/1/13 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;419;19;17;114;48
6/1/13 00:00;West;Small Market;Darjeeling;Leaves;Tea;Oregon;Regular;478;5;12;44;16
6/1/13 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;396;19;15;114;49
5/1/13 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;384;13;35;102;33
5/1/13 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;422;15;11;115;56
5/1/13 00:00;West;Small Market;Caffe Mocha;Beans;Espresso;Oregon;Regular;361;17;37;122;41
5/1/13 00:00;West;Small Market;Amaretto;Beans;Coffee;Oregon;Regular;458;48;-3;127;72
4/1/13 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;502;34;145;285;57
4/1/13 00:00;West;Small Market;Decaf Espresso;Beans;Espresso;Oregon;Decaf;1091;45;138;346;70
4/1/13 00:00;West;Small Market;Chamomile;Leaves;Herbal Tea;Oregon;Decaf;777;9;46;93;21
4/1/13 00:00;West;Small Market;Caffe Mocha;Beans;Espresso;Oregon;Regular;336;18;42;137;46
4/1/13 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;337;20;19;129;54
3/1/13 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;481;27;110;228;51
3/1/13 00:00;West;Small Market;Earl Grey;Leaves;Tea;Oregon;Regular;632;27;101;224;58
3/1/13 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;351;15;50;129;38
3/1/13 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;385;20;36;159;63
3/1/13 00:00;West;Small Market;Amaretto;Beans;Coffee;Oregon;Regular;421;47;-4;133;76
2/1/13 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;490;26;105;220;49
2/1/13 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;357;16;56;136;38
1/1/13 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;364;18;65;157;43
1/1/13 00:00;West;Small Market;Decaf Espresso;Beans;Espresso;Oregon;Decaf;1091;47;154;382;76
12/1/12 00:00;West;Small Market;Earl Grey;Leaves;Tea;Oregon;Regular;817;29;73;221;60
12/1/12 00:00;West;Small Market;Decaf Espresso;Beans;Espresso;Oregon;Decaf;1319;42;87;306;66
12/1/12 00:00;West;Small Market;Darjeeling;Leaves;Tea;Oregon;Regular;490;8;25;73;19
12/1/12 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;422;17;6;103;51
11/1/12 00:00;West;Small Market;Lemon;Leaves;Herbal Tea;Oregon;Decaf;561;29;70;200;42
11/1/12 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;666;31;89;245;54
11/1/12 00:00;West;Small Market;Earl Grey;Leaves;Tea;Oregon;Regular;798;25;62;197;57
11/1/12 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;470;17;14;128;61
10/1/12 00:00;West;Small Market;Lemon;Leaves;Herbal Tea;Oregon;Decaf;572;29;73;205;42
10/1/12 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;656;28;76;218;51
10/1/12 00:00;West;Small Market;Earl Grey;Leaves;Tea;Oregon;Regular;788;27;64;205;59
10/1/12 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;419;13;29;107;35
10/1/12 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;463;19;21;144;63
10/1/12 00:00;West;Small Market;Chamomile;Leaves;Herbal Tea;Oregon;Decaf;820;7;17;61;19
10/1/12 00:00;West;Small Market;Caffe Mocha;Beans;Espresso;Oregon;Regular;405;17;27;123;44
10/1/12 00:00;West;Small Market;Amaretto;Beans;Coffee;Oregon;Regular;503;46;-5;122;76
9/1/12 00:00;West;Small Market;Lemon;Leaves;Herbal Tea;Oregon;Decaf;579;20;47;140;32
9/1/12 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;424;13;28;107;36
8/1/12 00:00;West;Small Market;Earl Grey;Leaves;Tea;Oregon;Regular;810;37;104;286;68
8/1/12 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;474;15;8;114;59
8/1/12 00:00;West;Small Market;Chamomile;Leaves;Herbal Tea;Oregon;Decaf;826;7;19;62;18
8/1/12 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;414;18;9;109;51
7/1/12 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;478;12;0;94;55
7/1/12 00:00;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;419;19;12;115;52
7/1/12 00:00;West;Small Market;Amaretto;Beans;Coffee;Oregon;Regular;517;36;-10;95;66
6/1/12 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;456;15;4;112;61
6/1/12 00:00;West;Small Market;Chamomile;Leaves;Herbal Tea;Oregon;Decaf;816;7;22;69;19
5/1/12 00:00;West;Small Market;Lemon;Leaves;Herbal Tea;Oregon;Decaf;602;14;30;99;26
5/1/12 00:00;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;555;35;101;273;58
5/1/12 00:00;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;384;13;25;103;36
5/1/12 00:00;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;422;15;8;116;60
