"production_family","wk","fecha","fa_pn","pn_componente","wo","quantity","cod_defecto","label","linea","turno","cluster"
"Wands (Kamuk)","Week 01","1/3/2020","48400","48404",2046690,1,"D1093",1,"Line 13","T1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","48414",2046690,1,"DO085",1,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","48416",2046690,1,"DO1646",1,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","49697",2046690,4,"DO1644",1,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","20363",2046690,4,"",0,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","20363",2046690,10,"",0,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","26922",2046690,4,"",0,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","26922",2046690,6,"PKG119",1,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","26922",2046690,4,"PKG105",1,"Line 13","T 1",2
"Wands (Kamuk)","Week 01","1/3/2020","48400","26922",2046692,1,"",0,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","20363",2046692,4,"",0,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","26922",2046692,1,"PKG119",1,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","20363",2046692,1,"",0,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","49697",2046692,1,"",1,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","26922",2046691,4,"",0,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","20363",2046691,4,"",0,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","26922",2046691,4,"PKG119",1,"Line 13","T 2",1
"Wands (Kamuk)","Week 01","1/3/2020","48400","20363",2046691,10,"",0,"Line 13","T 2",1
